acc	R1	R2
SRR2316048	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/008/SRR2316048/SRR2316048_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/008/SRR2316048/SRR2316048_2.fastq.gz
SRR2316051	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/001/SRR2316051/SRR2316051_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/001/SRR2316051/SRR2316051_2.fastq.gz
SRR2316083	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/003/SRR2316083/SRR2316083_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/003/SRR2316083/SRR2316083_2.fastq.gz
SRR2316087	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/007/SRR2316087/SRR2316087_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/007/SRR2316087/SRR2316087_2.fastq.gz
SRR2316091	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/001/SRR2316091/SRR2316091_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/001/SRR2316091/SRR2316091_2.fastq.gz
SRR2316095	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/005/SRR2316095/SRR2316095_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/005/SRR2316095/SRR2316095_2.fastq.gz
SRR2316098	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/008/SRR2316098/SRR2316098_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/008/SRR2316098/SRR2316098_2.fastq.gz
SRR2316101	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/001/SRR2316101/SRR2316101_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/001/SRR2316101/SRR2316101_2.fastq.gz
SRR2316108	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/008/SRR2316108/SRR2316108_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/008/SRR2316108/SRR2316108_2.fastq.gz
SRR2316111	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/001/SRR2316111/SRR2316111_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/001/SRR2316111/SRR2316111_2.fastq.gz
SRR2316115	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/005/SRR2316115/SRR2316115_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/005/SRR2316115/SRR2316115_2.fastq.gz
SRR2316117	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/007/SRR2316117/SRR2316117_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/007/SRR2316117/SRR2316117_2.fastq.gz
SRR2316172	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/002/SRR2316172/SRR2316172_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/002/SRR2316172/SRR2316172_2.fastq.gz
SRR2316252	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/002/SRR2316252/SRR2316252_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/002/SRR2316252/SRR2316252_2.fastq.gz
SRR2316299	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/009/SRR2316299/SRR2316299_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/009/SRR2316299/SRR2316299_2.fastq.gz
SRR2316344	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/004/SRR2316344/SRR2316344_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/004/SRR2316344/SRR2316344_2.fastq.gz
SRR2316398	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/008/SRR2316398/SRR2316398_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/008/SRR2316398/SRR2316398_2.fastq.gz
SRR2316422	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/002/SRR2316422/SRR2316422_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/002/SRR2316422/SRR2316422_2.fastq.gz
SRR2316531	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/001/SRR2316531/SRR2316531_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/001/SRR2316531/SRR2316531_2.fastq.gz
SRR2316564	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/004/SRR2316564/SRR2316564_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/004/SRR2316564/SRR2316564_2.fastq.gz
SRR2316625	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/005/SRR2316625/SRR2316625_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/005/SRR2316625/SRR2316625_2.fastq.gz
SRR2316658	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/008/SRR2316658/SRR2316658_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/008/SRR2316658/SRR2316658_2.fastq.gz
SRR2316724	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/004/SRR2316724/SRR2316724_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/004/SRR2316724/SRR2316724_2.fastq.gz
SRR2316755	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/005/SRR2316755/SRR2316755_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/005/SRR2316755/SRR2316755_2.fastq.gz
SRR2316807	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/007/SRR2316807/SRR2316807_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/007/SRR2316807/SRR2316807_2.fastq.gz
SRR2316839	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/009/SRR2316839/SRR2316839_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/009/SRR2316839/SRR2316839_2.fastq.gz
SRR2316865	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/005/SRR2316865/SRR2316865_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/005/SRR2316865/SRR2316865_2.fastq.gz
SRR2316867	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/007/SRR2316867/SRR2316867_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/007/SRR2316867/SRR2316867_2.fastq.gz
SRR2316875	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/005/SRR2316875/SRR2316875_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/005/SRR2316875/SRR2316875_2.fastq.gz
